iter	Passed	Remaining
408	5379	7773
409	5393	7761
410	5408	7750
411	5423	7739
412	5436	7727
413	5452	7717
414	5466	7705
415	5480	7694
416	5495	7683
417	5511	7673
418	5525	7661
419	5539	7649
420	5553	7637
421	5565	7623
422	5581	7612
423	5594	7600
424	5611	7591
425	5624	7578
426	5638	7566
427	5652	7554
428	5665	7541
429	5679	7528
430	5692	7514
431	5706	7503
432	5719	7489
433	5732	7476
434	5746	7463
435	5760	7451
436	5774	7438
437	5788	7426
438	5804	7417
439	5819	7406
440	5833	7394
441	5847	7381
442	5859	7366
443	5872	7353
444	5885	7340
445	5898	7326
446	5909	7311
447	5923	7298
448	5937	7286
449	5950	7272
450	5962	7258
451	5974	7243
452	5987	7229
453	6001	7217
454	6014	7204
455	6028	7192
456	6040	7177
457	6053	7163
458	6063	7146
459	6075	7132
460	6087	7117
461	6100	7104
462	6114	7091
463	6127	7078
464	6143	7067
465	6157	7055
466	6173	7045
467	6186	7032
468	6199	7019
469	6214	7008
470	6230	6997
471	6244	6985
472	6259	6973
473	6272	6960
474	6284	6945
475	6296	6931
476	6310	6919
477	6323	6905
478	6335	6891
479	6348	6877
480	6361	6863
481	6373	6849
482	6385	6835
483	6398	6821
484	6412	6808
485	6424	6794
486	6436	6780
487	6448	6765
488	6462	6753
489	6474	6738
490	6487	6725
491	6500	6711
492	6514	6699
493	6527	6685
494	6538	6670
495	6551	6656
496	6565	6644
497	6578	6631
498	6591	6618
499	6604	6604
500	6618	6592
501	6646	6593
502	6671	6592
503	6687	6581
504	6701	6568
505	6713	6554
506	6726	6540
507	6738	6526
508	6749	6510
509	6761	6495
510	6770	6479
511	6781	6463
512	6792	6447
513	6803	6433
514	6813	6416
515	6830	6406
516	6843	6393
517	6855	6379
518	6867	6364
519	6878	6349
520	6888	6333
521	6900	6318
522	6909	6301
523	6922	6288
524	6935	6275
525	6945	6259
526	6958	6245
527	6970	6231
528	6981	6215
529	6992	6200
530	7004	6186
531	7016	6172
532	7029	6158
533	7041	6144
534	7053	6130
535	7064	6115
536	7077	6102
537	7091	6089
538	7102	6075
539	7113	6059
540	7126	6045
541	7137	6031
542	7152	6019
543	7162	6003
544	7174	5989
545	7189	5977
546	7202	5964
547	7215	5951
548	7226	5936
549	7238	5922
550	7250	5908
551	7261	5893
552	7273	5879
553	7287	5866
554	7301	5854
555	7313	5840
556	7326	5826
557	7338	5812
558	7350	5799
559	7361	5783
560	7372	5769
561	7384	5755
562	7395	5740
563	7406	5725
564	7418	5711
565	7431	5698
566	7442	5683
567	7454	5669
568	7461	5651
569	7472	5637
570	7484	5623
571	7495	5608
572	7507	5594
573	7519	5580
574	7530	5566
575	7542	5552
576	7554	5538
577	7565	5523
578	7578	5510
579	7589	5495
580	7602	5482
581	7614	5469
582	7624	5453
583	7637	5440
584	7649	5426
585	7658	5410
586	7670	5396
587	7687	5386
588	7706	5377
589	7721	5366
590	7731	5350
591	7741	5335
592	7754	5321
593	7766	5308
594	7777	5294
595	7788	5279
596	7800	5265
597	7811	5251
598	7823	5237
599	7837	5224
600	7850	5211
601	7862	5198
602	7873	5183
603	7886	5170
604	7901	5158
605	7918	5148
606	7931	5135
607	7941	5119
608	7952	5105
609	7965	5092
610	7977	5078
611	7989	5064
612	8001	5051
613	8013	5037
614	8028	5025
615	8044	5015
616	8069	5009
617	8084	4997
618	8101	4986
619	8115	4974
620	8129	4961
621	8142	4948
622	8155	4935
623	8168	4922
624	8184	4910
625	8200	4899
626	8214	4886
627	8229	4874
628	8242	4861
629	8254	4848
630	8269	4836
631	8285	4824
632	8299	4811
633	8312	4798
634	8327	4786
635	8340	4773
636	8353	4760
637	8369	4748
638	8383	4736
639	8396	4723
640	8410	4710
641	8423	4697
642	8436	4684
643	8452	4672
644	8466	4660
645	8480	4647
646	8493	4633
647	8507	4621
648	8521	4608
649	8534	4595
650	8548	4582
651	8564	4571
652	8579	4558
653	8592	4545
654	8606	4533
655	8618	4519
656	8638	4510
657	8655	4498
658	8670	4486
659	8689	4476
660	8702	4463
661	8716	4450
662	8732	4438
663	8745	4425
664	8758	4412
665	8773	4399
666	8788	4387
667	8799	4373
668	8812	4360
669	8830	4349
670	8848	4338
671	8861	4325
672	8875	4312
673	8888	4299
674	8900	4285
675	8912	4271
676	8926	4259
677	8941	4246
678	8953	4232
679	8964	4218
680	8977	4205
681	8990	4192
682	9004	4179
683	9017	4165
684	9029	4152
685	9042	4139
686	9056	4126
687	9069	4112
688	9080	4098
689	9093	4085
690	9108	4073
691	9122	4060
692	9137	4047
693	9146	4032
694	9158	4019
695	9170	4005
696	9180	3991
697	9192	3977
698	9204	3963
699	9217	3950
700	9228	3936
701	9242	3923
702	9254	3909
703	9266	3895
704	9279	3882
705	9291	3869
706	9304	3856
707	9316	3842
708	9328	3828
709	9342	3815
710	9354	3802
711	9369	3789
712	9381	3776
713	9393	3762
714	9404	3748
715	9418	3735
716	9431	3722
717	9443	3709
718	9456	3695
719	9470	3682
720	9481	3669
721	9494	3655
722	9506	3642
723	9518	3628
724	9532	3615
725	9544	3602
726	9556	3588
727	9566	3574
728	9578	3560
729	9590	3546
730	9602	3533
731	9613	3519
732	9626	3506
733	9640	3493
734	9652	3480
735	9664	3466
736	9676	3453
737	9688	3439
738	9700	3425
739	9712	3412
740	9723	3398
741	9735	3385
742	9747	3371
743	9759	3358
744	9771	3344
745	9783	3331
746	9796	3318
747	9809	3304
748	9820	3291
749	9832	3277
750	9846	3264
751	9859	3251
752	9869	3237
753	9881	3224
754	9894	3210
755	9905	3196
756	9917	3183
757	9930	3170
758	9942	3157
759	9954	3143
760	9966	3129
761	9978	3116
762	9990	3103
763	10001	3089
764	10013	3075
765	10024	3062
766	10035	3048
767	10048	3035
768	10062	3022
769	10078	3010
770	10094	2998
771	10114	2987
772	10131	2975
773	10149	2963
774	10176	2954
775	10194	2942
776	10214	2931
777	10232	2919
778	10269	2913
779	10285	2901
780	10305	2889
781	10326	2878
782	10346	2867
783	10366	2856
784	10389	2845
785	10413	2835
786	10430	2822
787	10451	2811
788	10476	2801
789	10495	2790
790	10510	2777
791	10522	2763
792	10531	2749
793	10543	2735
794	10556	2722
795	10572	2709
796	10585	2696
797	10599	2683
798	10612	2669
799	10625	2656
800	10639	2643
801	10652	2629
802	10664	2616
803	10677	2602
804	10690	2589
805	10701	2575
806	10715	2562
807	10727	2549
808	10739	2535
809	10751	2521
810	10763	2508
811	10775	2494
812	10790	2481
813	10803	2468
814	10814	2454
815	10828	2441
816	10840	2428
817	10848	2413
818	10861	2400
819	10873	2386
820	10886	2373
821	10897	2359
822	10911	2346
823	10924	2333
824	10936	2319
825	10950	2306
826	10961	2293
827	10974	2279
828	10988	2266
829	11004	2253
830	11015	2240
831	11026	2226
832	11038	2213
833	11050	2199
834	11063	2186
835	11076	2172
836	11088	2159
837	11097	2145
838	11109	2131
839	11121	2118
840	11132	2104
841	11145	2091
842	11162	2078
843	11177	2065
844	11194	2053
845	11213	2041
846	11230	2028
847	11251	2016
848	11265	2003
849	11279	1990
850	11292	1977
851	11305	1963
852	11318	1950
853	11329	1936
854	11344	1923
855	11357	1910
856	11388	1900
857	11403	1887
858	11419	1874
859	11433	1861
860	11445	1847
861	11457	1834
862	11472	1821
863	11486	1808
864	11499	1794
865	11510	1781
866	11523	1767
867	11536	1754
868	11551	1741
869	11567	1728
870	11579	1715
871	11590	1701
872	11603	1688
873	11616	1674
874	11629	1661
875	11640	1647
876	11654	1634
877	11666	1621
878	11679	1607
879	11691	1594
880	11705	1581
881	11719	1567
882	11732	1554
883	11747	1541
884	11764	1528
885	11780	1515
886	11798	1503
887	11815	1490
888	11831	1477
889	11846	1464
890	11862	1451
891	11879	1438
892	11897	1425
893	11916	1412
894	11933	1400
895	11949	1387
896	11964	1373
897	11979	1360
898	11998	1348
899	12015	1335
900	12030	1321
901	12045	1308
902	12059	1295
903	12070	1281
904	12082	1268
905	12094	1254
906	12107	1241
907	12119	1227
908	12131	1214
909	12144	1201
910	12157	1187
911	12169	1174
912	12181	1160
913	12193	1147
914	12205	1133
915	12218	1120
916	12231	1107
917	12243	1093
918	12255	1080
919	12266	1066
920	12279	1053
921	12294	1040
922	12307	1026
923	12324	1013
924	12339	1000
925	12358	987
926	12370	974
927	12384	960
928	12407	948
929	12419	934
930	12434	921
931	12449	908
932	12465	895
933	12481	882
934	12497	868
935	12514	855
936	12530	842
937	12552	829
938	12567	816
939	12589	803
940	12631	792
941	12664	779
942	12691	767
943	12726	754
944	12763	742
945	12786	729
946	12805	716
947	12824	703
948	12843	690
949	12859	676
950	12876	663
951	12891	650
952	12906	636
953	12922	623
954	12937	609
955	12952	596
956	12967	582
957	12981	569
958	13001	555
959	13014	542
960	13031	528
961	13049	515
962	13063	501
963	13076	488
964	13089	474
965	13103	461
966	13118	447
967	13133	434
968	13150	420
969	13159	406
970	13173	393
971	13189	379
972	13206	366
973	13222	352
974	13247	339
975	13262	326
976	13285	312
977	13318	299
978	13341	286
979	13360	272
980	13376	259
981	13395	245
982	13424	232
983	13440	218
984	13456	204
985	13474	191
986	13493	177
987	13508	164
988	13524	150
989	13541	136
990	13556	123
991	13572	109
992	13587	95
993	13600	82
994	13613	68
995	13627	54
996	13643	41
997	13657	27
998	13671	13
999	13686	0
