iter	Logloss
0	0.6767406117
1	0.6615806843
2	0.6505279693
3	0.6422117946
4	0.6325615121
5	0.6270122721
6	0.620744782
7	0.6169837841
8	0.6122735342
9	0.6088193399
10	0.6056133174
11	0.6025617291
12	0.598329702
13	0.5947813816
14	0.5918290117
15	0.5889222036
16	0.5853128319
17	0.5828090049
18	0.578210598
19	0.5748583061
20	0.5718375199
21	0.5677951374
22	0.56541492
23	0.5623396085
24	0.5597146236
25	0.5573066131
26	0.5559767642
27	0.5541084745
28	0.5524563718
29	0.5509825915
30	0.5495911006
31	0.5490893378
32	0.5472636375
33	0.5449528558
34	0.5433500579
35	0.540924463
36	0.5388672688
37	0.5366915085
38	0.5351518892
39	0.5330289992
40	0.5313653327
41	0.5295105656
42	0.5277400305
43	0.5253369142
44	0.5226806712
45	0.5203110172
46	0.5182452716
47	0.5168153836
48	0.5144364242
49	0.5131544314
50	0.5104370475
51	0.5094235314
52	0.5071041034
53	0.503978252
54	0.5022215579
55	0.5008918387
56	0.4995227241
57	0.4989222008
58	0.4979418348
59	0.4962615783
60	0.4944399597
61	0.4929989617
62	0.4914543007
63	0.4898252237
64	0.4877667579
65	0.4867690301
66	0.4852242162
67	0.4841339309
68	0.4824496135
69	0.4810884303
70	0.4795896045
71	0.4779076418
72	0.476636646
73	0.4754243172
74	0.474167853
75	0.4720815392
76	0.4692906221
77	0.4660276082
78	0.4644745374
79	0.463287867
80	0.4614819957
81	0.4600390565
82	0.4593708889
83	0.4572835863
84	0.4556946854
85	0.4543938729
86	0.4529059904
87	0.4519249371
88	0.4500003168
89	0.4483696312
90	0.4468749975
91	0.4454304604
92	0.4440545212
93	0.4425242595
94	0.4415555661
95	0.4393286147
96	0.4369471156
97	0.4349929272
98	0.433486472
99	0.4313339269
100	0.4306214916
101	0.4288292762
102	0.4270403899
103	0.426114106
104	0.4244385952
105	0.4226956069
106	0.4200971009
107	0.419204843
108	0.4167387951
109	0.4136661231
110	0.4113279509
111	0.4090711668
112	0.4072055035
113	0.4048710355
114	0.4032994251
115	0.4013266357
116	0.3998601101
117	0.3984716516
118	0.3970468646
119	0.3943512007
120	0.3921438277
121	0.3908111277
122	0.3884586841
123	0.3862271656
124	0.3846153123
125	0.3818856338
126	0.3797824611
127	0.3773849509
128	0.3754854019
129	0.3738402458
130	0.3714243071
131	0.3702018585
132	0.3682720916
133	0.3662299809
134	0.3641159383
135	0.3626874124
136	0.3604425087
137	0.3589191067
138	0.3568626247
139	0.3542615852
140	0.3520774782
141	0.3508289702
142	0.34920934
143	0.3475467825
144	0.3449719632
145	0.3431000863
146	0.3415727389
147	0.3396130013
148	0.3380489003
149	0.3359776699
150	0.3341962855
151	0.3327709576
152	0.330614576
153	0.3288734999
154	0.3271739496
155	0.3260242978
156	0.3242884194
157	0.3222051565
158	0.3207839945
159	0.319506434
160	0.318362712
161	0.3171971638
162	0.3156024585
163	0.3142548083
164	0.3119046105
165	0.3100751706
166	0.3088846825
167	0.3076803166
168	0.3062278062
169	0.3045840754
170	0.3029305377
171	0.3018059103
172	0.300661584
173	0.2994039937
174	0.2977647728
175	0.2963474356
176	0.2951951369
177	0.2936750442
178	0.292224368
179	0.2914386504
180	0.2898665568
181	0.288396328
182	0.2872016008
183	0.2858571803
184	0.2847350844
185	0.2835273339
186	0.282402448
187	0.2812349183
188	0.280271929
189	0.2791125091
190	0.277876739
191	0.2763269879
192	0.2748887803
193	0.2735649694
194	0.2723796688
195	0.2710015368
196	0.2695594073
197	0.2684813131
198	0.2672940235
199	0.2660943912
2650744312
